order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,quantity,price,datetime,city,country(state),ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
0, 13, James Rodriguez,201278,Outback,Subaru,Wallet,5,26945.00,02-14-2021 11:22:36,Meridian,Mississippi,Carvana,AO-131956,Y,
1, 9, Chloe Howells,100648,Sierra,GMC,Card,20,37195.00,09-05-2021 21:49:53,Oak Ridge,Tennessee,eBay,Fp-325143,Y,
2, 12, Eric Kemsley,201278,Outback,Subaru,UPI,12,26945.00,09-22-2021 21:44:02,Columbus,Georgia,AutoTrader,CA-768004,Y,
3, 15, Micheal Smith,200787,CR-V,Honda,Card,18,26800.00,06-15-2021 20:02:00,North Little Rock,Arkansas,AutoTrader,vK-456543,Y,
4, 16, Dave Hernandez,400562,Wrangler,Jeep,Wallet,13,30295.00,02-10-2021 02:37:58,Montgomery,Alabama,AutoTrader,xp-907010,Y,
5, 8, Justin Thomas,200122,Equinox,Chevrolet,UPI,20,26300.00,12-15-2021 14:21:22,Birmingham,Alabama,AutoTrader,rA-886288,Y,
6, 8, Justin Thomas,200528,Grand Cherokee,Jeep,Internet Banking,16,39000.00,12-03-2021 15:46:38,Greensboro,North Carolina,Car Max,fw-681579,Y,
7, 19, Jordan Brown,201081,Tucson,Hyundai,UPI,18,24950.00,02-23-2021 23:07:15,Chattanooga,Tennessee,AutoTrader,SL-773882,Y,
8, 24, Amy Barnes,100145,Silverado,Chevrolet,Wallet,4,34600.00,12-11-2021 18:31:14,Greenville,South Carolina,AutoTrader,RJ-812159,Y,
9, 21, Louis Way,200482,RAV4,Toyota,Wallet,10,26975.00,09-28-2021 19:17:53,Richmond,Virginia,eBay,zk-289964,N,Merchant account blocks the transaction
10, 14, Kumar Singh,200528,Grand Cherokee,Jeep,Card,5,39000.00,05-05-2021 13:42:16,Dulles,Virginia,Carfax,Lg-979560,Y,
11, 15, Micheal Smith,300804,Model 3,Tesla,Card,2,46990.00,07-06-2021 14:46:34,Winston-Salem,North Carolina,Carfax,fC-109332,Y,
12, 10, Max Halloway,300995,Altima,Nissan,UPI,19,24900.00,08-21-2021 09:52:53,Lake Charles,Louisiana,eBay,RX-207142,N,Credit or debit card is canceled
13, 25, Karen Smith,200122,Equinox,Chevrolet,Wallet,13,26300.00,04-21-2021 07:54:37,North Little Rock,Arkansas,AutoTrader,XJ-682729,N,The consumers account is suspended or closed 
14, 24, Amy Barnes,100494,Highlander,Toyota,UPI,13,35855.00,11-22-2021 00:35:56,Louisville,Kentucky,Carfax,Yo-228174,Y,
15, 3 ,Alexander Hopkins,200233,Explorer,Ford,UPI,8,35510.00,05-02-2021 08:54:01,Greensboro,North Carolina,AutoTrader,pp-780525,Y,
16, 6, Alex Poppins,400562,Wrangler,Jeep,UPI,16,30295.00,06-21-2021 15:32:30,Dulles,Virginia,AutoTrader,bA-436950,Y,
